dataset,n,algorithm,avg_time_us,min_time_us,median_time_us,char_comparisons,char_inspections,runs
nearly_sorted,500,STRING_MERGESORT_LCP,42.280,37.795,39.498,1838,3676,11
nearly_sorted,500,MSD_RADIX_SORT,35.306,34.178,35.217,0,2432,11
nearly_sorted,500,MSD_RADIX_SORT_WITH_STRING_QS,28.273,25.070,25.894,1939,3318,11
nearly_sorted,600,QUICKSORT,75.380,65.503,75.260,7631,15262,11
nearly_sorted,600,MERGESORT,52.106,47.643,50.165,4458,8916,11
nearly_sorted,600,STRING_QUICKSORT,41.290,34.079,39.347,4513,4981,11
nearly_sorted,600,STRING_MERGESORT_LCP,56.051,50.790,53.393,2184,4368,11
nearly_sorted,600,MSD_RADIX_SORT,42.558,41.645,42.396,0,2922,11
nearly_sorted,600,MSD_RADIX_SORT_WITH_STRING_QS,35.462,31.076,32.378,2331,3985,11
nearly_sorted,700,QUICKSORT,87.799,79.857,86.104,9277,18554,11
nearly_sorted,700,MERGESORT,62.887,58.751,60.636,5199,10398,11
nearly_sorted,700,STRING_QUICKSORT,48.274,41.486,46.962,5352,5898,11
nearly_sorted,700,STRING_MERGESORT_LCP,70.507,63.789,68.989,2475,4950,11
nearly_sorted,700,MSD_RADIX_SORT,52.849,51.611,52.488,0,3410,11
nearly_sorted,700,MSD_RADIX_SORT_WITH_STRING_QS,42.383,36.645,42.316,2715,4646,11
nearly_sorted,800,QUICKSORT,101.887,94.270,98.885,10899,21798,11
nearly_sorted,800,MERGESORT,74.637,70.202,72.657,6089,12178,11
nearly_sorted,800,STRING_QUICKSORT,56.660,49.943,54.102,6269,6898,11
nearly_sorted,800,STRING_MERGESORT_LCP,86.277,78.016,83.818,2869,5738,11
nearly_sorted,800,MSD_RADIX_SORT,60.080,59.358,59.884,0,3894,11
nearly_sorted,800,MSD_RADIX_SORT_WITH_STRING_QS,48.458,43.026,44.992,3109,5315,11
nearly_sorted,900,QUICKSORT,113.729,105.047,109.715,12135,24270,11
nearly_sorted,900,MERGESORT,80.878,76.270,78.545,7068,14136,11
nearly_sorted,900,STRING_QUICKSORT,63.689,57.778,60.724,7245,7951,11
nearly_sorted,900,STRING_MERGESORT_LCP,89.205,82.000,87.639,3326,6652,11
nearly_sorted,900,MSD_RADIX_SORT,70.034,66.659,68.506,0,4396,11
nearly_sorted,900,MSD_RADIX_SORT_WITH_STRING_QS,53.234,48.454,50.486,3522,6008,11
nearly_sorted,1000,QUICKSORT,127.625,120.797,123.756,13932,27864,11
